episode: 55/500000, score: 327.5775665401373, avg_score: 310.41939083954196, ep_steps: 999, cumulus_steps: 39946
episode: 56/500000, score: 343.2449063175906, avg_score: 317.23077366159407, ep_steps: 999, cumulus_steps: 40945
episode: 57/500000, score: 163.00079595186412, avg_score: 320.42229243906684, ep_steps: 429, cumulus_steps: 41374
episode: 58/500000, score: 635.202844665631, avg_score: 333.0731664463337, ep_steps: 999, cumulus_steps: 42373
episode: 59/500000, score: 407.0641476728587, avg_score: 334.3623115191824, ep_steps: 990, cumulus_steps: 43363
episode: 60/500000, score: 513.3131099003297, avg_score: 336.62009335669916, ep_steps: 999, cumulus_steps: 44362
episode: 61/500000, score: 552.9853676748446, avg_score: 343.144901920874, ep_steps: 999, cumulus_steps: 45361
episode: 62/500000, score: 409.6926661082395, avg_score: 347.4621690587807, ep_steps: 999, cumulus_steps: 46360
episode: 63/500000, score: 533.3366717546016, avg_score: 351.9367854051554, ep_steps: 999, cumulus_steps: 47359
episode: 64/500000, score: 382.4974699745854, avg_score: 350.1454962951022, ep_steps: 999, cumulus_steps: 48358
episode: 65/500000, score: 411.75435249864404, avg_score: 353.3565931623191, ep_steps: 999, cumulus_steps: 49357
episode: 66/500000, score: 392.32892064374744, avg_score: 350.13681382056535, ep_steps: 999, cumulus_steps: 50356
episode: 67/500000, score: 388.4481405540776, avg_score: 350.22623079707625, ep_steps: 999, cumulus_steps: 51355
episode: 68/500000, score: 351.2945455053923, avg_score: 351.0791191603935, ep_steps: 999, cumulus_steps: 52354
episode: 69/500000, score: 397.7684467296708, avg_score: 351.39609717270537, ep_steps: 999, cumulus_steps: 53353
episode: 70/500000, score: 131.42958796135926, avg_score: 344.8244113856774, ep_steps: 999, cumulus_steps: 54352
episode: 71/500000, score: 310.14782562074555, avg_score: 350.47940390445734, ep_steps: 716, cumulus_steps: 55068
episode: 72/500000, score: 43.84063812002278, avg_score: 344.5304510285868, ep_steps: 169, cumulus_steps: 55237
episode: 73/500000, score: 59.73604589065364, avg_score: 344.55041449279287, ep_steps: 215, cumulus_steps: 55452
episode: 74/500000, score: 48.448479447426536, avg_score: 343.18969750293314, ep_steps: 242, cumulus_steps: 55694
episode: 75/500000, score: 74.81531107652702, avg_score: 334.51662843068857, ep_steps: 103, cumulus_steps: 55797
episode: 76/500000, score: 473.8810310816886, avg_score: 343.9130056949195, ep_steps: 999, cumulus_steps: 56796
episode: 77/500000, score: 461.9076869400587, avg_score: 352.84404036432437, ep_steps: 999, cumulus_steps: 57795
episode: 78/500000, score: 411.24492891328146, avg_score: 360.9700643648685, ep_steps: 999, cumulus_steps: 58794
episode: 79/500000, score: 566.336739519472, avg_score: 366.980532103019, ep_steps: 999, cumulus_steps: 59793
episode: 80/500000, score: 75.88325479078044, avg_score: 366.60631108214073, ep_steps: 142, cumulus_steps: 59935
episode: 81/500000, score: 487.52972071883283, avg_score: 372.3163977935647, ep_steps: 999, cumulus_steps: 60934
episode: 82/500000, score: 355.3434466558805, avg_score: 372.77121409890395, ep_steps: 999, cumulus_steps: 61933
episode: 83/500000, score: 530.87153622368, avg_score: 377.03539731402606, ep_steps: 999, cumulus_steps: 62932
episode: 84/500000, score: 207.31836551418084, avg_score: 371.1715957659936, ep_steps: 424, cumulus_steps: 63356
episode: 85/500000, score: 493.79659598007163, avg_score: 371.0806871034915, ep_steps: 999, cumulus_steps: 64355
episode: 86/500000, score: 405.03844421571443, avg_score: 378.4817880270486, ep_steps: 999, cumulus_steps: 65354
episode: 87/500000, score: 410.1268552291169, avg_score: 379.0192235005598, ep_steps: 999, cumulus_steps: 66353
episode: 88/500000, score: 353.1874270550937, avg_score: 378.3464956148344, ep_steps: 999, cumulus_steps: 67352
episode: 89/500000, score: 442.2905441804686, avg_score: 379.8849926880873, ep_steps: 999, cumulus_steps: 68351
episode: 90/500000, score: 320.5455381195779, avg_score: 378.5651518835997, ep_steps: 999, cumulus_steps: 69350
episode: 91/500000, score: 499.8620009425709, avg_score: 381.0040832937666, ep_steps: 999, cumulus_steps: 70349
episode: 92/500000, score: 237.76069374073126, avg_score: 377.30060052759626, ep_steps: 999, cumulus_steps: 71348
episode: 93/500000, score: 375.3830823778047, avg_score: 368.85014376118227, ep_steps: 999, cumulus_steps: 72347
episode: 94/500000, score: 553.4082690024146, avg_score: 370.4268231841781, ep_steps: 999, cumulus_steps: 73346
episode: 95/500000, score: 268.35298557156045, avg_score: 368.75834173230993, ep_steps: 999, cumulus_steps: 74345
episode: 96/500000, score: 316.9579804680154, avg_score: 368.45806906592435, ep_steps: 999, cumulus_steps: 75344
episode: 97/500000, score: 524.3312899179925, avg_score: 371.2613685541022, ep_steps: 999, cumulus_steps: 76343
episode: 98/500000, score: 331.82638765937736, avg_score: 365.9215916607443, ep_steps: 999, cumulus_steps: 77342
episode: 99/500000, score: 531.6241624283584, avg_score: 367.47059302354285, ep_steps: 999, cumulus_steps: 78341
episode: 100/500000, score: 465.9597469966144, avg_score: 368.73282706439363, ep_steps: 999, cumulus_steps: 79340
episode: 101/500000, score: 441.31459824684845, avg_score: 370.0935130394108, ep_steps: 999, cumulus_steps: 80339
episode: 102/500000, score: 438.94576077392264, avg_score: 373.9431500271811, ep_steps: 999, cumulus_steps: 81338
episode: 103/500000, score: 393.4329017660407, avg_score: 375.09718230570815, ep_steps: 999, cumulus_steps: 82337
episode: 104/500000, score: 322.14384108121305, avg_score: 371.4906731344062, ep_steps: 999, cumulus_steps: 83336
episode: 105/500000, score: 436.06173033536993, avg_score: 373.66035641031084, ep_steps: 999, cumulus_steps: 84335
episode: 106/500000, score: 376.76224354976176, avg_score: 374.33070315495434, ep_steps: 999, cumulus_steps: 85334
episode: 107/500000, score: 495.67186720734094, avg_score: 380.9841245800638, ep_steps: 999, cumulus_steps: 86333
episode: 108/500000, score: 326.1959353725862, avg_score: 374.80398639420304, ep_steps: 999, cumulus_steps: 87332
episode: 109/500000, score: 422.2712106467701, avg_score: 375.1081276536812, ep_steps: 999, cumulus_steps: 88331
episode: 110/500000, score: 497.4688301332629, avg_score: 374.79124205833995, ep_steps: 999, cumulus_steps: 89330
episode: 111/500000, score: 477.2610693301376, avg_score: 373.27675609144586, ep_steps: 999, cumulus_steps: 90329
episode: 112/500000, score: 394.3882842907929, avg_score: 372.97066845509676, ep_steps: 999, cumulus_steps: 91328
episode: 113/500000, score: 335.2476054733403, avg_score: 369.00888712947153, ep_steps: 999, cumulus_steps: 92327
episode: 114/500000, score: 447.4282100884957, avg_score: 370.3075019317498, ep_steps: 999, cumulus_steps: 93326
episode: 115/500000, score: 360.1040523519422, avg_score: 369.2744959288157, ep_steps: 999, cumulus_steps: 94325
episode: 116/500000, score: 438.7314304200846, avg_score: 370.20254612434246, ep_steps: 999, cumulus_steps: 95324
episode: 117/500000, score: 425.58969501398974, avg_score: 370.9453772135407, ep_steps: 999, cumulus_steps: 96323
episode: 118/500000, score: 463.23614657294684, avg_score: 373.1842092348918, ep_steps: 999, cumulus_steps: 97322
episode: 119/500000, score: 485.4796521374463, avg_score: 374.9384333430473, ep_steps: 999, cumulus_steps: 98321
episode: 120/500000, score: 424.723210382535, avg_score: 380.80430579147077, ep_steps: 999, cumulus_steps: 99320
episode: 121/500000, score: 476.5327718428412, avg_score: 384.1320047159128, ep_steps: 999, cumulus_steps: 100319
episode: 122/500000, score: 242.2384058627375, avg_score: 388.09996007076705, ep_steps: 999, cumulus_steps: 101318
